input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: evaluation of question answering",question answering,"In the domain of Natural Language Processing, I want to learn about evaluation of question answering, what concepts should I learn first?",question answering
"domain_1: Natural Language Processing
concept_1: informed search",search,"In the domain of Natural Language Processing, I want to learn about informed search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: hidden markov models","probabilities
bayesian network","In the domain of Natural Language Processing, I want to learn about hidden markov models, what concepts should I learn first?",probabilities;bayesian network
"domain_1: Natural Language Processing
concept_1: machine translation techniques",machine translation,"In the domain of Natural Language Processing, I want to learn about machine translation techniques, what concepts should I learn first?",machine translation
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions",machine learning resources,"In the domain of Natural Language Processing, I want to learn about random walks and harmonic functions, what concepts should I learn first?",machine learning resources
"domain_1: Natural Language Processing
concept_1: Mixture Models","probabilities
clustering
Gaussian graphical models","In the domain of Natural Language Processing, I want to learn about Mixture Models, what concepts should I learn first?",probabilities;clustering;Gaussian graphical models
"domain_1: Natural Language Processing
concept_1: mathematical models",probabilities,"In the domain of Natural Language Processing, I want to learn about mathematical models, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: Multi-News dataset creation",extractive summarization,"In the domain of Natural Language Processing, I want to learn about Multi-News dataset creation, what concepts should I learn first?",extractive summarization
"domain_1: Natural Language Processing
concept_1: relation extraction","linguistics basics
semantic similarity
random walks and harmonic functions
natural language processing intro","In the domain of Natural Language Processing, I want to learn about relation extraction, what concepts should I learn first?",linguistics basics;semantic similarity;random walks and harmonic functions;natural language processing intro
"domain_1: Natural Language Processing
concept_1: statistical parsing","probabilities
parsing","In the domain of Natural Language Processing, I want to learn about statistical parsing, what concepts should I learn first?",probabilities;parsing
"domain_1: Natural Language Processing
concept_1: Mean Field Approximation",graphical models,"In the domain of Natural Language Processing, I want to learn about Mean Field Approximation, what concepts should I learn first?",graphical models
"domain_1: Natural Language Processing
concept_1: Principal Component Analysis","dimensionality reduction
singular value decomposition","In the domain of Natural Language Processing, I want to learn about Principal Component Analysis, what concepts should I learn first?",dimensionality reduction;singular value decomposition
"domain_1: Natural Language Processing
concept_1: recursive neural networks",training neural networks,"In the domain of Natural Language Processing, I want to learn about recursive neural networks, what concepts should I learn first?",training neural networks
"domain_1: Natural Language Processing
concept_1: end-to-end ST",speech translation model,"In the domain of Natural Language Processing, I want to learn about end-to-end ST, what concepts should I learn first?",speech translation model
"domain_1: Natural Language Processing
concept_1: the ibm models",machine translation,"In the domain of Natural Language Processing, I want to learn about the ibm models, what concepts should I learn first?",machine translation
"domain_1: Natural Language Processing
concept_1: heuristic search",search,"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: variational bayes models",probabilities,"In the domain of Natural Language Processing, I want to learn about variational bayes models, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: speech processing","probabilities
linguistics basics
speech signal analysis
natural language processing intro
loss function","In the domain of Natural Language Processing, I want to learn about speech processing, what concepts should I learn first?",probabilities;linguistics basics;speech signal analysis;natural language processing intro;loss function
"domain_1: Natural Language Processing
concept_1: question answering system",semantic units,"In the domain of Natural Language Processing, I want to learn about question answering system, what concepts should I learn first?",semantic units
"domain_1: Natural Language Processing
concept_1: expert systems",logic and logical agents,"In the domain of Natural Language Processing, I want to learn about expert systems, what concepts should I learn first?",logic and logical agents
"domain_1: Natural Language Processing
concept_1: question answering","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about question answering, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: text summarization",sentence representations,"In the domain of Natural Language Processing, I want to learn about text summarization, what concepts should I learn first?",sentence representations
"domain_1: Natural Language Processing
concept_1: question answering system",semantic units,"In the domain of Natural Language Processing, I want to learn about question answering system, what concepts should I learn first?",semantic units
"domain_1: Natural Language Processing
concept_1: semi-supervised learning","machine learning resources
random walks and harmonic functions","In the domain of Natural Language Processing, I want to learn about semi-supervised learning, what concepts should I learn first?",machine learning resources;random walks and harmonic functions
"domain_1: Natural Language Processing
concept_1: social media analysis","sentiment analysis
relation extraction
information extraction","In the domain of Natural Language Processing, I want to learn about social media analysis, what concepts should I learn first?",sentiment analysis;relation extraction;information extraction
"domain_1: Natural Language Processing
concept_1: graph-based nlp",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about graph-based nlp, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: lexicography","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about lexicography, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: stack lstm","deep learning introduction
training neural networks","In the domain of Natural Language Processing, I want to learn about stack lstm, what concepts should I learn first?",deep learning introduction;training neural networks
"domain_1: Natural Language Processing
concept_1: speech processing","probabilities
linguistics basics
speech signal analysis
natural language processing intro
loss function","In the domain of Natural Language Processing, I want to learn about speech processing, what concepts should I learn first?",probabilities;linguistics basics;speech signal analysis;natural language processing intro;loss function
"domain_1: Natural Language Processing
concept_1: multimodal fusion",multimodal embeddings,"In the domain of Natural Language Processing, I want to learn about multimodal fusion, what concepts should I learn first?",multimodal embeddings
"domain_1: Natural Language Processing
concept_1: social media analysis","sentiment analysis
relation extraction
information extraction","In the domain of Natural Language Processing, I want to learn about social media analysis, what concepts should I learn first?",sentiment analysis;relation extraction;information extraction
"domain_1: Natural Language Processing
concept_1: gibbs sampling",Sampling,"In the domain of Natural Language Processing, I want to learn about gibbs sampling, what concepts should I learn first?",Sampling
"domain_1: Natural Language Processing
concept_1: monte carlo tree search",probabilities,"In the domain of Natural Language Processing, I want to learn about monte carlo tree search, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: Lagrange duality",optimization,"In the domain of Natural Language Processing, I want to learn about Lagrange duality, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: heuristic search",search,"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: classification","probabilities
loss function","In the domain of Natural Language Processing, I want to learn about classification, what concepts should I learn first?",probabilities;loss function
"domain_1: Natural Language Processing
concept_1: kernel function",machine learning resources,"In the domain of Natural Language Processing, I want to learn about kernel function, what concepts should I learn first?",machine learning resources
"domain_1: Natural Language Processing
concept_1: spelling correction","chinese nlp
linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about spelling correction, what concepts should I learn first?",chinese nlp;linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: neural question answering","convolutional neural network
question answering
long short term memory networks
recurrent neural networks
neural networks","In the domain of Natural Language Processing, I want to learn about neural question answering, what concepts should I learn first?",convolutional neural network;question answering;long short term memory networks;recurrent neural networks;neural networks
"domain_1: Natural Language Processing
concept_1: adversarial purification",computer vision,"In the domain of Natural Language Processing, I want to learn about adversarial purification, what concepts should I learn first?",computer vision
"domain_1: Natural Language Processing
concept_1: evaluation of language modeling",language modeling,"In the domain of Natural Language Processing, I want to learn about evaluation of language modeling, what concepts should I learn first?",language modeling
"domain_1: Natural Language Processing
concept_1: regular expressions",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about regular expressions, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: KKT conditions",optimization,"In the domain of Natural Language Processing, I want to learn about KKT conditions, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: nlp and vision","linguistics basics
computer vision
natural language processing intro","In the domain of Natural Language Processing, I want to learn about nlp and vision, what concepts should I learn first?",linguistics basics;computer vision;natural language processing intro
"domain_1: Natural Language Processing
concept_1: computation theory",chomsky hierarchy,"In the domain of Natural Language Processing, I want to learn about computation theory, what concepts should I learn first?",chomsky hierarchy
"domain_1: Natural Language Processing
concept_1: first-order logic","semi supervised learning
penn treebank","In the domain of Natural Language Processing, I want to learn about first-order logic, what concepts should I learn first?",semi supervised learning;penn treebank
"domain_1: Natural Language Processing
concept_1: social network extraction","probabilities
information extraction","In the domain of Natural Language Processing, I want to learn about social network extraction, what concepts should I learn first?",probabilities;information extraction
"domain_1: Natural Language Processing
concept_1: document ranking",information retrieval,"In the domain of Natural Language Processing, I want to learn about document ranking, what concepts should I learn first?",information retrieval
"domain_1: Natural Language Processing
concept_1: markov chain monte carlo","Markov chains
Sampling","In the domain of Natural Language Processing, I want to learn about markov chain monte carlo, what concepts should I learn first?",Markov chains;Sampling
"domain_1: Natural Language Processing
concept_1: nlp for the humanities","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about nlp for the humanities, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: word segmentation","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about word segmentation, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: Naive Bayes",probabilities,"In the domain of Natural Language Processing, I want to learn about Naive Bayes, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: hybrid retrieval",dense retrieval,"In the domain of Natural Language Processing, I want to learn about hybrid retrieval, what concepts should I learn first?",dense retrieval
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions",machine learning resources,"In the domain of Natural Language Processing, I want to learn about random walks and harmonic functions, what concepts should I learn first?",machine learning resources
"domain_1: Natural Language Processing
concept_1: sentence representations",structured learning,"In the domain of Natural Language Processing, I want to learn about sentence representations, what concepts should I learn first?",structured learning
"domain_1: Natural Language Processing
concept_1: regular expressions",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about regular expressions, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: neural turing machine","recurrent neural networks
deep learning introduction","In the domain of Natural Language Processing, I want to learn about neural turing machine, what concepts should I learn first?",recurrent neural networks;deep learning introduction
"domain_1: Natural Language Processing
concept_1: dual decomposition",optimization,"In the domain of Natural Language Processing, I want to learn about dual decomposition, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: bag of words model",vector representations,"In the domain of Natural Language Processing, I want to learn about bag of words model, what concepts should I learn first?",vector representations
"domain_1: Natural Language Processing
concept_1: named entity recognition","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about named entity recognition, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: computation theory",chomsky hierarchy,"In the domain of Natural Language Processing, I want to learn about computation theory, what concepts should I learn first?",chomsky hierarchy
"domain_1: Natural Language Processing
concept_1: loss function",machine learning resources,"In the domain of Natural Language Processing, I want to learn about loss function, what concepts should I learn first?",machine learning resources
"domain_1: Natural Language Processing
concept_1: logic and logical agents",search,"In the domain of Natural Language Processing, I want to learn about logic and logical agents, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: phonetics",linguistics basics,"In the domain of Natural Language Processing, I want to learn about phonetics, what concepts should I learn first?",linguistics basics
"domain_1: Natural Language Processing
concept_1: logistic regression",machine learning resources,"In the domain of Natural Language Processing, I want to learn about logistic regression, what concepts should I learn first?",machine learning resources
"domain_1: Natural Language Processing
concept_1: unsupervised speech-to-text translation",speech translation model,"In the domain of Natural Language Processing, I want to learn about unsupervised speech-to-text translation, what concepts should I learn first?",speech translation model
"domain_1: Natural Language Processing
concept_1: course introduction","probabilities
linguistics basics
hidden markov models
part of speech tagging
dynamic programming
statistical part of speech tagging
natural language processing intro","In the domain of Natural Language Processing, I want to learn about course introduction, what concepts should I learn first?",probabilities;linguistics basics;hidden markov models;part of speech tagging;dynamic programming;statistical part of speech tagging;natural language processing intro
"domain_1: Natural Language Processing
concept_1: parsing",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about parsing, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: gated recurrent units",recurrent neural networks,"In the domain of Natural Language Processing, I want to learn about gated recurrent units, what concepts should I learn first?",recurrent neural networks
"domain_1: Natural Language Processing
concept_1: Neural extractive summarization",extractive summarization,"In the domain of Natural Language Processing, I want to learn about Neural extractive summarization, what concepts should I learn first?",extractive summarization
"domain_1: Natural Language Processing
concept_1: character level language models","evaluation of language modeling
word distributions","In the domain of Natural Language Processing, I want to learn about character level language models, what concepts should I learn first?",evaluation of language modeling;word distributions
"domain_1: Natural Language Processing
concept_1: language models",regularization,"In the domain of Natural Language Processing, I want to learn about language models, what concepts should I learn first?",regularization
"domain_1: Natural Language Processing
concept_1: gated recurrent units",recurrent neural networks,"In the domain of Natural Language Processing, I want to learn about gated recurrent units, what concepts should I learn first?",recurrent neural networks
"domain_1: Natural Language Processing
concept_1: EigenSent algorithm",spectral method,"In the domain of Natural Language Processing, I want to learn about EigenSent algorithm, what concepts should I learn first?",spectral method
"domain_1: Natural Language Processing
concept_1: propositional logic","logic and logical agents
linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about propositional logic, what concepts should I learn first?",logic and logical agents;linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: graph convolutional networks","semi-supervised learning
convolutional neural networks
training neural networks","In the domain of Natural Language Processing, I want to learn about graph convolutional networks, what concepts should I learn first?",semi-supervised learning;convolutional neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: matrix factorization","machine learning resources
Principal Component Analysis","In the domain of Natural Language Processing, I want to learn about matrix factorization, what concepts should I learn first?",machine learning resources;Principal Component Analysis
"domain_1: Natural Language Processing
concept_1: dependency parsing",parsing,"In the domain of Natural Language Processing, I want to learn about dependency parsing, what concepts should I learn first?",parsing
"domain_1: Natural Language Processing
concept_1: Manifold Learning","probabilities
feature learning
dimensionality reduction
Principal Component Analysis","In the domain of Natural Language Processing, I want to learn about Manifold Learning, what concepts should I learn first?",probabilities;feature learning;dimensionality reduction;Principal Component Analysis
"domain_1: Natural Language Processing
concept_1: tools for dl","programming languages
python","In the domain of Natural Language Processing, I want to learn about tools for dl, what concepts should I learn first?",programming languages;python
"domain_1: Natural Language Processing
concept_1: social network extraction","probabilities
information extraction","In the domain of Natural Language Processing, I want to learn about social network extraction, what concepts should I learn first?",probabilities;information extraction
"domain_1: Natural Language Processing
concept_1: computational phonology",linguistics basics,"In the domain of Natural Language Processing, I want to learn about computational phonology, what concepts should I learn first?",linguistics basics
"domain_1: Natural Language Processing
concept_1: agent-based view of ai","reinforcement learning
logic and logical agents","In the domain of Natural Language Processing, I want to learn about agent-based view of ai, what concepts should I learn first?",reinforcement learning;logic and logical agents
"domain_1: Natural Language Processing
concept_1: Autoencoders","maximum likelihood estimation
backpropagation
neural networks
loss function","In the domain of Natural Language Processing, I want to learn about Autoencoders, what concepts should I learn first?",maximum likelihood estimation;backpropagation;neural networks;loss function
"domain_1: Natural Language Processing
concept_1: morphological analysis",morphological typology,"In the domain of Natural Language Processing, I want to learn about morphological analysis, what concepts should I learn first?",morphological typology
"domain_1: Natural Language Processing
concept_1: hybrid retrieval",dense retrieval,"In the domain of Natural Language Processing, I want to learn about hybrid retrieval, what concepts should I learn first?",dense retrieval
"domain_1: Natural Language Processing
concept_1: logic and logical agents",search,"In the domain of Natural Language Processing, I want to learn about logic and logical agents, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: heuristic search",search,"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: heuristic search",search,"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: expectation maximization algorithm","latent variable models
Mixture Models","In the domain of Natural Language Processing, I want to learn about expectation maximization algorithm, what concepts should I learn first?",latent variable models;Mixture Models
"domain_1: Natural Language Processing
concept_1: the ibm models",machine translation,"In the domain of Natural Language Processing, I want to learn about the ibm models, what concepts should I learn first?",machine translation
"domain_1: Natural Language Processing
concept_1: Unsupervised learning","machine learning resources
random walks and harmonic functions","In the domain of Natural Language Processing, I want to learn about Unsupervised learning, what concepts should I learn first?",machine learning resources;random walks and harmonic functions
"domain_1: Natural Language Processing
concept_1: toolkits for information retrieval",information retrieval,"In the domain of Natural Language Processing, I want to learn about toolkits for information retrieval, what concepts should I learn first?",information retrieval
"domain_1: Natural Language Processing
concept_1: Sequence to sequence","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about Sequence to sequence, what concepts should I learn first?",linguistics basics;natural language processing intro
